Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
bale,,,VT,,,tugivo ,,,,,,,
baluor,,,VI,,,huloma ,,,,,,,
ban,,,VI,,,lasofe ,,,,,,,
benal,,,VI,,,bebera ,,,,,,,
ber,,,VI,,,liwoqi ,,,,,,,
bi,,,PRT,,,maruhe ,,,,,,,
bior,,,VI,,,bufajo ,,,,,,,
bire,,,VUA,,,yubahe ,,,,,,,
bire,,,VT,,,pumema ,,,,,,,
bjaor,,,VI,,,berape ,,,,,,,
blan,,,VT,,,zeyawu 21,,,,,,,
blan,,,VI,,,wivulu ,,,,,,,
blea,,,VT,,,sehiva ,,,,,,,
bleu,,,VT,,,yilodi 21,,,,,,,
blu,,,VT_P1,,,cutago ,,,,,,,
blua,,,VT,,,mogoju ,,,,,,,
blue,,,VT,,,tujoco ,,,,,,,
bluni,,,V3T,,,fuwiyi 3214,,,,,,,
blunu,,,V3T,,,fubuca 3214,,,,,,,
blur,,,VI,,,bazetu ,,,,,,,
boiur,,,VI,,,hayuce ,,,,,,,
buan,,,VI,,,rediwi ,,,,,,,
buran,,,VI,,,tagaze ,,,,,,,
buren,,,VI,,,wahulo ,,,,,,,
bzael,,,VI,,,wugile ,,,,,,,
cahil,,,VI,,,fuqilo ,,,,,,,
caun,,,VI,,,ziwayu ,,,,,,,
cehil,,,VI,,,hunate ,,,,,,,
cein,,,VI,,,yekiye ,,,,,,,
cekmi,,,VI_va_fo,,,padita ,,,,,,,
celia,,,VT,,,jaroka ,,,,,,,
celio,,,VT,,,litefo ,,,,,,,
celuar,,,VI,,,hifuno ,,,,,,,
ceor,,,VI,,,rikopi ,,,,,,,
cfan,,,VI,,,vekawi ,,,,,,,
cfean,,,VI,,,rozeqa ,,,,,,,
cfen,,,VI,,,jigota ,,,,,,,
cfin,,,VI,,,wozohu ,,,,,,,
cilun,,,VI,,,hobewe ,,,,,,,
ckia,,,VT,,,zaliyi 21,,,,,,,
ckual,,,VI,,,pokahi ,,,,,,,
ckuel,,,VI,,,sawahe ,,,,,,,
ckuil,,,VI,,,docuga ,,,,,,,
ckuol,,,VI,,,mohoje ,,,,,,,
cluan,,,V0,,,huzade ,,,,,,,
cluen,,,V0,,,yinudi ,,,,,,,
cluin,,,V0,,,yogufi ,,,,,,,
cluon,,,V0,,,wibica ,,,,,,,
cmuel,,,VI,,,zomayi ,,,,,,,
cnie,,,VT,,,kiweko 21,,,,,,,
cnue,,,VT,,,deludo 21,,,,,,,
cnuhe,,,VT,,,gehaqa ,,,,,,,
coriu,,,VT,,,yoguwo 21,,,,,,,
cpere,,,VT,,,saloki 21,,,,,,,
cpia,,,VT,,,mugone 21,,,,,,,
cpie,,,VT,,,piyofi 21,,,,,,,
cpio,,,VT,,,vorecu 21,,,,,,,
cpuan,,,VI,,,samuba ,,,,,,,
cpuen,,,VI,,,puhidu ,,,,,,,
cpuin,,,VI,,,kirupu ,,,,,,,
cpunu,,,VT,,,gewuma ,,,,,,,
ctua,,,VT,,,vazoco ,,,,,,,
ctuhi,,,VUA,,,rurofa ,,,,,,,
ctuhi,,,VT,,,hubafi ,,,,,,,
curo,,,VT,,,bawako ,,,,,,,
dena,,,VUA,,,qarabo ,,,,,,,
dena,,,VT,,,qegice ,,,,,,,
djia,,,VT,,,kamiyo ,,,,,,,
djio,,,VT,,,digama 21,,,,,,,
dogmu,,,VI,,,gunuba ,,,,,,,
dole,,,VT_P0,,,cimesu ,,,,,,,
dona,,,VT,,,payito ,,,,,,,
drair,,,VI,,,sibeye ,,,,,,,
drion,,,VI,,,vapewe ,,,,,,,
duna,,,VI_va_fo,,,jubaku ,,,,,,,
dzai,,,VT_P1,,,tunomo ,,,,,,,
dzana,,,VT,,,nelaqa ,,,,,,,
dzui,,,VT_P1,,,zekupa ,,,,,,,
e ber ban,,,VI,,,berasa ,,,,,,,
e bino cnue,,,VI,,,vihubu ,,,,,,,
e birei denai,,,VI,,,yesatu ,,,,,,,
e blu jnihi,,,VT_R2,,,ruzori ,,,,,,,
e blu jnuhi,,,VT_R2,,,ririsu ,,,,,,,
e blu ski,,,VT_P0,,,vofape ,,,,,,,
e boiur spoul,,,VI,,,ruqewi ,,,,,,,
e buan spenu,,,VT,,,lacape ,,,,,,,
e bzael krei,,,VT_P0,,,royuvi ,,,,,,,
e ca ma,,,VI,,,sumera ,,,,,,,
e cfen mula,,,VUA,,,nijede ,,,,,,,
e cfen mula,,,VT,,,kiboci ,,,,,,,
e ci vini,,,VI_va_fo,,,zewufa 312,,,,,,,
e cnue meloan,,,VI,,,nabuyu ,,,,,,,
e cpuan kalu,,,VT,,,gogaro ,,,,,,,
e du zoi,,,VI,,,tekoji ,,,,,,,
e filiel skal,,,VI,,,punoye ,,,,,,,
e fsuo katmi,,,VT_P0,,,jotehi ,,,,,,,
e gien tcia,,,VT,,,nikuro 21,,,,,,,
e glon sa,,,VT,,,hiyuke ,,,,,,,
e glon skol,,,VI,,,dugobe ,,,,,,,
e jero sonul,,,VI,,,birila ,,,,,,,
e jveno kena,,,VT,,,guzava ,,,,,,,
e kalan sa,,,VT,,,cewide ,,,,,,,
e kine cmuel,,,VI,,,cegebu ,,,,,,,
