Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
akselo,,,N,,,pehonu ,,,,,,,
aŭ,,,COO,,,zarowi ,,,,,,,
delfeno,,,N,,,defuyi ,,,,,,,
hundo,,,N,,,yobanu ,,,,,,,
jahurto,,,N,,,cufogo ,,,,,,,
jogurto,,,N,,,cufogo ,,,,,,,
kaj,,,COO,,,talage ,,,,,,,
kato,,,N,,,fufuki ,,,,,,,
kompreni,,,VT,,,cimana ,,,,,,,
komputilo,,,N,,,futeyu ,,,,,,,
koni,,,VT,,,ciboya ,,,,,,,
kvaredro,,,N,,,kibula ,,,,,,,
lito,,,N,,,dufiqa ,,,,,,,
osto,,,N,,,hobewe ,,,,,,,
pluredro,,,N,,,gakujo ,,,,,,,
pomo,,,N,,,nahala ,,,,,,,
seĝo,,,N,,,zunoko ,,,,,,,
stovo,,,N,,,tagowu ,,,,,,,
subbrako,,,N,,,pehonu ,,,,,,,
tablo,,,N,,,yohaye ,,,,,,,
trinkujo,,,N,,,bazemi ,,,,,,,
urso,,,N,,,bajasu ,,,,,,,
viva,,,AN,,,yogije ,,,,,,,
vivi,,,VI,,,yogije ,,,,,,,
ĉevalo,,,N,,,qibawe ,,,,,,,
