Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
.a,,,COO,,,zarowi ,,,,,,,
.aidji,,,,,,mulana ,,,,,,,
.angu,,,VI,,,lasofe ,,,,,,,
.artropoda,,,,,,hekuwe ,,,,,,,
.asti,,,VI,,,tiragu ,,,,,,,
.augji,,,,,,tuzelo ,,,,,,,
.e,,,COO,,,talage ,,,,,,,
.ifle,,,VD,,,berogo ,,,,,,,
.ilka’u,,,,,,paqoyu ,,,,,,,
.ilnu,,,VI,,,noneyi ,,,,,,,
.imsa,,,VT,,,ciceqe ,,,,,,,
.inku,,,,,,zedesu ,,,,,,,
.ixru,,,,,,zebuho ,,,,,,,
.odbo,,,,,,zoponu ,,,,,,,
.olgoixorxoi,,,,,,susige ,,,,,,,
.olkai,,,VT,,,hapawe ,,,,,,,
.ukta,,,VI,,,vijutu ,,,,,,,
.unli,,,VD,,,geyuci ,,,,,,,
.unma,,,VT,,,zeluwi ,,,,,,,
.utce,,,VD,,,vatuli 132,,,,,,,
.uxna,,,,,,zuvano ,,,,,,,
ansu,,,,,,heramo ,,,,,,,
anta,,,,,,gewina ,,,,,,,
ba'alvi,,,,,,bahegu ,,,,,,,
bacru,,,,,,pisodi ,,,,,,,
balvi,,,,,,nehagu ,,,,,,,
banzu,,,,,,dewepe ,,,,,,,
banzuni,,,VT,,,jubuju ,,,,,,,
barda,,,VD,,,javesa 132,,,,,,,
bartu,,,,,,cegefi 21,,,,,,,
baupli,,,,,,dohake ,,,,,,,
bavla'i,,,,,,gutawa ,,,,,,,
ba’o,,,ASP,,,towili ,,,,,,,
ba’ozi,,,ASP,,,qehuyi ,,,,,,,
benvaukre,,,,,,kahozi ,,,,,,,
bifcapi,,,,,,zayami ,,,,,,,
birti,,,,,,wejufu ,,,,,,,
bisma’a,,,VT,,,wozute 21,,,,,,,
blabi,,,,,,qokaza ,,,,,,,
blanu,,,,,,jayina ,,,,,,,
blatsauai,,,,,,jejoge ,,,,,,,
bridi,,,VD,,,terupo ,,,,,,,
brije'u,,,VT,,,bubeyi ,,,,,,,
brijitfa,,,,,,denoce ,,,,,,,
brireisku,,,VD,,,neruji 132,,,,,,,
bruna,,,,,,zohoye ,,,,,,,
ca'o,,,ASP,,,zuyufa ,,,,,,,
cabdei/1,,,,,,teveku ,,,,,,,
cabmoi,,,V3T,,,davedo 1342,,,,,,,
cabrolmoi,,,,,,tehiyo ,,,,,,,
candre,,,VI,,,veteju ,,,,,,,
catlu,,,VT,,,gebuze ,,,,,,,
ca’abna,,,,,,forini ,,,,,,,
ca’o,,,,,,zuyufa ietnu,,,,,,,
ceinca'e,,,,,,yesiqa ,,,,,,,
cfari,,,VI,,,bigida ,,,,,,,
cfipu,,,,,,kocaci ●,,,,,,,
"cfipu,",,,,,,rusese ➋,,,,,,,
cicricfoi,,,VI,,,voqibu ,,,,,,,
cikna,,,VI,,,rewoma ,,,,,,,
cilmo,,,,,,kupaka ,,,,,,,
"cinri,",,,,,,meyuwu ➋,,,,,,,
cisma,,,VI,,,yafuda ,,,,,,,
citka,,,VT,,,qayiho ,,,,,,,
ckaifa,,,,,,gakile ,,,,,,,
ckaji,,,VT,,,pohuti ,,,,,,,
ckini,,,VD,,,nikatu ,,,,,,,
ckire,,,VD,,,hazoya ,,,,,,,
cmalu,,,VD,,,yoyimi 132,,,,,,,
cmila,,,,,,zanoso ,,,,,,,
cmima,,,VT,,,viqeyu ,,,,,,,
cnible,,,,,,fefezu ,,,,,,,
cnitsa,,,,,,wuheku ,,,,,,,
coi,,,VOC,,,yuliwe ,,,,,,,
comco’e,,,VI,,,jukivu ,,,,,,,
cortu,,,,,,lehaco ,,,,,,,
co’a,,,ASP,,,bigida ,,,,,,,
co’u,,,ASP,,,mosegu ,,,,,,,
cpipika,,,VI,,,yedare ,,,,,,,
crino,,,,,,ralija ,,,,,,,
critsauai,,,,,,fevuna ,,,,,,,
ctino,,,,,,cesale 213,,,,,,,
