"lemma","discriminator","is_official","supertype","frame","distribution","pronominal_class","subject","sememe","examples","synonyms","etymology","etymological_notes","definition_type","qtq_definition","qtq_notes","qtq_gloss","eng_definition","eng_notes","eng_gloss","cmn_definition","cmn_notes","cmn_gloss","spa_definition","spa_notes","spa_gloss","fra_definition","fra_notes","fra_gloss","por_definition","por_notes","por_gloss","rus_definition","rus_notes","rus_gloss","deu_definition","deu_notes","deu_gloss","jpn_definition","jpn_notes","jpn_gloss","tgl_definition","tgl_notes","tgl_gloss","tur_definition","tur_notes","tur_gloss","pol_definition","pol_notes","pol_gloss","nld_definition","nld_notes","nld_gloss","bul_definition","bul_notes","bul_gloss","isl_definition","isl_notes","isl_gloss","lou_definition","lou_notes","lou_gloss","epo_definition","epo_notes","epo_gloss","tok_definition","tok_notes","tok_gloss","tlh_definition","tlh_notes","tlh_gloss","ithkuil-iv_definition","ithkuil-iv_notes","ithkuil-iv_gloss","votgil_definition","votgil_notes","votgil_gloss","c_definition","c_gloss","c_notes","jbo_definition","jbo_gloss","jbo_notes","langdata","qpv_definition","qpv_gloss","qpv_notes"
"Abaza",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to Abaza culture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'Wf5_CRXAd', 'author': 'funbreaker', 'date': '2024-03-03T01:31:04.017Z', 'score': 0})}",,,
"Abazazu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Abaza language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'iUmVPeWoR', 'author': 'funbreaker', 'date': '2024-03-03T01:31:26.124Z', 'score': 0})}",,,
"Acakı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Artsakh → Artsakh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'iF4G0kGWsXDm', 'author': 'countries', 'date': '2025-09-21T18:01:04.339Z', 'score': 0})}",,,
"Acakıgua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Artsakh → Artsakh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '9uNREU3i1921', 'author': 'countries', 'date': '2025-09-21T18:01:04.339Z', 'score': 0})}",,,
"Adıga",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to Adyghe culture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'VwcGhPe8n', 'author': 'funbreaker', 'date': '2024-03-02T23:10:27.633Z', 'score': 0})}",,,
"Adıgazu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the Adyghe language.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'vi_iXfCOe', 'author': 'funbreaker', 'date': '2024-03-02T23:10:53.955Z', 'score': 0})}",,,
"Afagaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ pertains to the culture of Afghanistan – Islamic Republic of Afghanistan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'fZoJe6nmP3a5', 'author': 'countries', 'date': '2025-09-21T18:01:04.333Z', 'score': 0})}",,,
"Afagaqgua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the country Afghanistan – Islamic Republic of Afghanistan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'em0cZfugCVS9', 'author': 'countries', 'date': '2025-09-21T18:01:04.333Z', 'score': 0})}",,,
"Afarı",1,"True","predicate","c","d","maq","individual","ganifa","[]",,,,"informal",,,,"▯ is Africa.",,"Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ to Afryka.",,,,,,,,,,,,"▯ çé Lafrik.",,"Lafrik",,,,"▯ li ma Apika (ona li lon anpa pi ma Elopa)",,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:Afarı', 'author': 'official', 'date': '', 'score': 0}), 'tok': OrderedDict({'id': '3tASjSx9B', 'author': 'el', 'date': '2022-10-26T17:57:49.760Z', 'score': 0}), 'pol': OrderedDict({'id': 'Ch-VITkiM', 'author': 'jiqci', 'date': '2023-07-31T08:19:42.254Z', 'score': 0}), 'lou': OrderedDict({'id': 'E1-Sens1a', 'author': 'eednb', 'date': '2023-12-03T20:01:43.299Z', 'score': 0})}",,,
"Afarı'usona",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is African-American.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'AU8lu8b89', 'author': 'Laqme', 'date': '2025-02-12T11:27:56.772Z', 'score': 0})}",,,
