"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"تُفَّاح",,,"N",,"M U","nahala",,,,,,,,
"حَيّ",,,"AN",,,"yogije",,,,,,,,
"دَرْفِيل",,,"N",,"M","defuyi",,,,,,,,
"دُخَس",,,"N",,"M","defuyi",,,,,,,,
"دُلْفِين",,,"N",,"M","defuyi",,,,,,,,
"ضَبُع",,,"N",,"F","nulofa",,,,,,,,
"عُثَّة",,,"N",,"F","milana",,,,,,,,
"قِطّ",,,"N",,"M","fufuki",,,,,,,,
"كَلْب",,,"N",,"M","yobanu",,,,,,,,
"مَاء",,,"N",,"M","seliwa",,,,,,,,
"رِيح ",,,"N",,"F","howahu",,,,,,,,
