"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"আপেল",1,,"N",,,"nahala",,,,,,,,
"কুকুর",1,,"N",,,"yobanu",,,,,,,,
"কুত্তা",1,,"N",,,"yobanu",,,,,,,,
"জল",1,,"N",,,"seliwa",,,,,,,,
"ডলফিন",1,,"N",,,"defuyi",,,,,,,,
"পানি",1,,"N",,,"seliwa",,,,,,,,
"পালং",1,,"N",,,"dufiqa",,,,,,,,
"বারি",1,,"N",,,"seliwa",,,,,,,,
"বিছানা",1,,"N",,,"dufiqa",,,,,,,,
"বিড়াল",1,,,,,"fufuki",,,,,,,,
"বিলাই",1,,,,,"fufuki",,,,,,,,
"বেড়াল",1,,,,,"fufuki",,,,,,,,
"সেব",1,,"N",,,"nahala",,,,,,,,
"হায়েনা",1,,"N",,,"nulofa",,,,,,,,
"রা",1,,"Suff",,,"gezogi",,,,,,,,
"বায়ু",1,,"N",,,"zawefe",,,,,,,,
"বায়ু",2,,"N",,,"howahu",,,,,,,,
"হাওয়া",1,,"N",,,"zawefe",,,,,,,,
"হাওয়া",2,,"N",,,"howahu",,,,,,,,
"বাতাস",1,,"N",,,"zawefe",,,,,,,,
"বাতাস",2,,"N",,,"howahu",,,,,,,,
