"Lemma","Lemma Simplified","Discriminator","Pinyin","Pinyin Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"-者","-者",1,"-zhě",1,,"Suff",,,,"Agent nominalizer",,,,,,,
"一","一",1,"yī",1,,"Num",,,"wehuke ",,,,,,,,
"一 ","一 ",2,"yī ",2,,,,,,"as soon as",,,,,,,
"一些 ","一些 ",,"yīxiē ",,,"P",,,,,,,,,,,
"一定 ","一定 ",,"yīdìng ",,,"V",,,,,,,,,,,
"一樣 ","一样 ",,"yīyàng ",,,,,,,,,,,,,,
"一直 ","一直 ",,"yīzhí ",,,,,,,,,,,,,,
"三","三",1,"sān",1,,"Num",,,,,,,,,,,
"上","上",1,"shàng",1,,,,,,,,,,,,,
"下 ","下 ",,"xià ",,,,,,,,,,,,,,
"不","不",1,"bù",1,,"Polar",,,"maruhe",,,,,,,,
"不同 ","不同 ",,"bùtóng ",,,,,,,,,,,,,,
"不會 ","不会 ",,"búhuì ",,,,,,,,,,,,,,
"不能 ","不能 ",,"bùnéng ",,,,,,,,,,,,,,
"不要 ","不要 ",,"búyào ",,,,,,,,,,,,,,
"不過 ","不过 ",,"búguò ",,,"Conj",,,,,,,,,,,
"世界 ","世界 ",,"shìjiè ",,,,,,,,,,,,,,
"並 ","并 ",,"bìng ",,,,,,,,,,,,,,
"並 ","并 ",,"bìng ",,,,,,,,,,,,,,
"中 ","中 ",,"zhōng ",,,"N",,,,,,,,,,,
"中國 ","中国 ",,"Zhōngguó ",,,"N",,,,,,,,,,,
"中心 ","中心 ",,"zhōngxīn ",,,,,,,,,,,,,,
"之後 ","之后 ",,"zhīhòu ",,,,,,,,,,,,,,
"也","也",1,"yě",1,,"Foc",,,"yohecu",,,,,,,,
"了","了",1,"le",1,,"Aspect",,,,,,,,,,,
"事 ","事 ",,"shì ",,,"N",,,,,,,,,,,
"二","二",,"èr",,,"Num",,,,,,,,,,,
"二 ","二 ",,"èr ",,,"D",,,,,,,,,,,
"五 ","五 ",,"wǔ ",,,"D",,,,,,,,,,,
"些 ","些 ",,"xiē",,,,,,,,,,,,,,
