"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"Ameise",,,"N",,"F","yawifa",,,,,,,,
"Apfel",,,"N",,"M","nahala",,,,,,,,
"Baum",,,"N",,"M","tiliva",,,,,,,,
"Beryllium",,,"N",,"N","bediwe",,,,,,,,
"Bett",,,"N",,"N","dufiqa",,,,,,,,
"Biene",,,"N",,"F","zayami",,,,,,,,
"Bienenwachs",,,"N",,"N","zonoba",,,,,,,,
"Bär",,,"N",,"M","bajasu",,,,,,,,
"Computer",,,"N",,"M","futeyu",,,,,,,,
"Delfin",,,"N",,"M","defuyi",,,,,,,,
"Delphin",,,"N",,"M","defuyi",,,,,,,,
"Ei",,,"N",,"N","fuqilo",,,,,,,,
"Fliege",,,"N",,"F","zijiku",,,,,,,,
"Fuchs",,,"N",,"M","nerawa",,,,,,,,
"Gardensalat",,,"N",,"N","zagari",,,,,,,,
"Honig",,,"N",,"M","wilawi",,,,,,,,
"Hund",,,"N",,"M","yobanu",,,,,,,,
"Hyäne",,,"N",,"F","nulofa",,,,,,,,
"Joghurt",,,"N",,"M|N","cufogo",,,,,,,,
"Katz",,,"N",,"F","fufuki",,,,,,,,
"Kerze",,,"N",,"F","mobupa",,,,,,,,
"Mensch",,,"N",,"M","wayami",,,,,,,,
"Ofen",,,"N",,"M","tagowu",,,,,,,,
"Pferd",,,"N",,"N","qibawe",,,,,,,,
"Pflanze",,,"N",,"F","dayilu",,,,,,,,
"Polyeder",,,"N",,"N","gakujo",,,,,,,,
"Rechner",,,"N",,"M","futeyu",,,,,,,,
"Saat",,,"N",,"F","dorawo",,,,,,,,
"Samen",,,"N",,"M","dorawo",,,,,,,,
"Schlange",,,"N",,"F","kisudo",,,,,,,,
"Stuhl",,,"N",,"M","zunoko",,,,,,,,
"Tisch",,,"N",,"M","yohaye",,,,,,,,
"Vielflach",,,"N",,"N","gakujo",,,,,,,,
"Vielflächner",,,"N",,"M","gakujo",,,,,,,,
"Wasser",,,"N",,"N","seliwa",,,,,,,,
"bald",1,,"AV",,,"megoji",,,,,,,,
"blau",,,"AN",,,"jayina",,,,,,,,
"bleiben",,,"VI",,,"nafoyo",,,,,,,,
"etlich",1,,"AN",,,"hanona",,,,,,,,
"hallo",,,"INTJ",,,"yuliwe",,,,,,,,
"hoch",,,"AN",,,"zupuzu",,,,,,,,
"kennen",,,"V",,"DO","ciboya",,,,,,,,
"leben",,,"VI",,,"yogije",,,,,,,,
"schwarz",,,"AN",,,"nosune",,,,,,,,
"schön",,,"AN",,,"wivulu",,,,,,,,
"und",1,,"NCOO",,,"nawulu",,,,,,,,
"und",2,,"COO",,,"talage",,,,,,,,
"und die",,,"Expr",,,"gezogi",,,,,,,,
"verstehen",,,"V",,"DO","cimana",,,,,,,,
"wissen",,,"V",,"DO","qipifi",,,,,,,,
