"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"a",,,"D",,,"saruyo ",,,,,,,
"abandon",,,"V",,"DO","latusu ",,,,,,,
"able",1,,"AN",,,"zekupa ",,,,,,,
"about",,,"P",,,"ruguhu ",,,,,,,
"absorb",,,"V",,"DO","matube ",,,,,,,
"accept",,,"V",,"DO","dabini ",,,,,,,
"accept",,,"V",,"DO","colima ",,,,,,,
"accompany",,,"V",,"DO to","yojobe ",,,,,,,
"acid",,,"N",,"U ","resoki ",,,,,,,
"acknowledge",,,"V",,"DO","jotofo ",,,,,,,
"acorn",,,"N",,"C ","palana ",,,,,,,
"acquire",,,"V",,"DO","bulihe ",,,,,,,
"actual",,,"AN",,,"tiragu ",,,,,,,
"add",,,"V",,"DO to","palako ",,,,,,,
"additionally",,,"AV",,,"zotiwe ",,,,,,,
"adhere",,,"V",,"to","gefaba ",,,,,,,
"adjacent",,,"AN",,"to","migibe ",,,,,,,
"admirable",,,"AN",,,"fugawo ",,,,,,,
"admire",,,"V",,"DO","geveho ",,,,,,,
"adult",,,"AN",,"C ","qinevo ",,,,,,,
"advise",2,,"V",,"DO to+INF","yocono ",,,,,,,
"advise",1,,"V",,"DO to","yocono 132",,,,,,,
"aeroplane",,,"N",,,"lawuga ",,,,,,,
"Africa",,,"Name",,,"ganifa ",,,,,,,
"after",1,,"P",,,"nehagu ",,,,,,,
"after",2,,"P",,,"jawisu ",,,,,,,
"again",,,"AV",,,"bawugi ",,,,,,,
"age",,,"N",,"of","zupahe 21",,,,,,,
"aggregate",,,"N",,"of","zeluwi ",,,,,,,
"agree",,,"V",,"DO","colima ",,,,,,,
"agree",,,"V",,"with that","cofife ",,,,,,,
"air",,,"NU",,,"zawefe ",,,,,,,
"aircraft",,,"N",,,"weyake ",,,,,,,
"airplane",,,"N",,,"lawuga ",,,,,,,
"airship",,,"N",,,"gusefu ",,,,,,,
"alcohol",,,"N",,"U ","gomadu ",,,,,,,
"alien",,,"N",,,"yujeyu ",,,,,,,
"alive",,,"AN",,,"yogije ",,,,,,,
"alive",,,"AN",,,"kubudi ",,,,,,,
"all",,,"D",,,"hapawe ",,,,,,,
"allow",,,"V",,"DO to","yoqevi ",,,,,,,
"allowed",,,"PTCP",,"to","zilanu ",,,,,,,
"almost",,,"AV",,,"nizobi ",,,,,,,
"alone",,,"AN",,,"ziyewo ",,,,,,,
"also",,,"FOC",,,"yohecu ",,,,,,,
"also",,,"FOC",,,"sucuyi ",,,,,,,
"aluminium",,,"N",,"U ","virana ",,,,,,,
"alveolate",,,"N",,"C ","refeva ",,,,,,,
"amaze",,,"V",,"DO","bafale 21",,,,,,,
"amazing",,,"AN",,,"folato ",,,,,,,
"amber",,,"N",,"U ","jepigi ",,,,,,,
"ambulate",,,"V",,,"maqibi ",,,,,,,
"among",,,"P",,,"digowi ",,,,,,,
"analyze",,,"V",,"DO","losegu ",,,,,,,
"ancestor",,,"N",,"of","higiwe ",,,,,,,
"and",2,,"COO",,,"talage ",,,,,,,
"and co.",,,"Idiom",,,"gezogi ",,,,,,,
"and",1,,"NCOO",,,"nawulu ",,,,,,,
"anew",,,"AV",,,"bawugi ",,,,,,,
"angry",,,"AN",,,"facucu ",,,,,,,
"annoyed",,,"AN",,,"hidaji ",,,,,,,
"anonymous",,,"AN",,,"kasugo ",,,,,,,
"ant",,,"N",,"C ","yawifa ",,,,,,,
"Antarctica",,,"Name",,,"zuvugu ",,,,,,,
"anvil",,,"N",,,"bunoma ",,,,,,,
"anxious",,,"AN",,,"deyofo ",,,,,,,
"apple",,,"N",,,"nahala ",,,,,,,
"apply",,,"V",,"DO to","poveju ",,,,,,,
"approve",,,"V",,"DO","hagevu ",,,,,,,
"archaea",,,"N",,"C ","ginufi ",,,,,,,
"argon",,,"N",,"U ","wujipu ",,,,,,,
