Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
ahizpa,,,,,,lasafe ,,,,,,,
aldapa,1,,N,,,fesanu ,,,,,,,
aldapa,2,,N,,,nedaza ,,,,,,,
anaia,,,N,,,zonolo ,,,,,,,
anaia,,,N,,,zohoye ,,,,,,,
arbola,,,N,,,tiliva ,,,,,,,
arreba,,,,,,lujawu ,,,,,,,
atera,,,VT,,,sumuda ,,,,,,,
atzo,,,AV,,,gumeki ,,,,,,,
aulki,,,N,,,zunoko ,,,,,,,
autopista,,,N,,,wisece ,,,,,,,
baina,,,COO,,,buvune ,,,,,,,
baserri,,,N,,,rufufa ,,,,,,,
begi,,,N,,,jovonu ,,,,,,,
behi,,,N,,,nivawa ,,,,,,,
beltz,,,AN,,,nosune ,,,,,,,
berde,,,AN,,,ralija ,,,,,,,
bihar,,,AV,,,yekaro ,,,,,,,
bihotz,,,N,,,cizehu ,,,,,,,
bizi izan,,,VI,,,yogije ,,,,,,,
buru,,,N,,,zejeti ,,,,,,,
deitu,1,,PtcpT,,,ruyeba ,,,,,,,
eder,,,AN,,,wivulu ,,,,,,,
edifizio,,,N,,,zomayi ,,,,,,,
egarri,,,AN,,,datiso ,,,,,,,
eliza,,,N,,,coweyi ,,,,,,,
enparantza,,,N,,,duyuco ,,,,,,,
erle,,,N,,,zayami ,,,,,,,
esku,,,N,,,tehihi ,,,,,,,
esne,,,N,,,lumica ,,,,,,,
estufa,,,N,,,tagowu ,,,,,,,
eta,,,COO,,,talage ,,,,,,,
etxe,,,N,,,detume ,,,,,,,
etxe,,,N,,,virume ,,,,,,,
euskara,,,N,,,fudese ,,,,,,,
euskaraz hitzegin,,,N,,,fudese ,,,,,,,
ezagutu,,,VT,,,ciboya ,,,,,,,
ezti,,,N,,,wilawi ,,,,,,,
faltsu,,,AN,,,maruhe ,,,,,,,
fluor,,,NI,,,behiqi ,,,,,,,
galduta,,,PTCP,,,vigaba ,,,,,,,
gasolindegi,,,N,,,rikuhi ,,,,,,,
gaur,,,AV,,,pulogi ,,,,,,,
gorri,,,AN,,,kukewo ,,,,,,,
gose,,,AN,,,borovi ,,,,,,,
hartu,1,,PtcpT,,,vahati ,,,,,,,
hartz,,,N,,,bajasu ,,,,,,,
herri,,,N,,,wocaja ,,,,,,,
herria,,,N,,,jitoke ,,,,,,,
hezur,1,,N,,,hobewe ,,,,,,,
hezur,2,,N,,,tamoya ,,,,,,,
hiena,,,NA,,,nulofa ,,,,,,,
hil,,,AN,,,hutavu ,,,,,,,
hitzegin,1,,PtcpT,,,juweku ,,,,,,,
hizkuntza,,,N,,,lasofe ,,,,,,,
hondartza,,,N,,,hivode ,,,,,,,
ibai,,,N,,,zacoye ,,,,,,,
ikasi,,,PtcpT,,,padago ,,,,,,,
ikasle,,,N,,,tasiqa ,,,,,,,
ikusi,1,,PtcpT,,,zapiyo ,,,,,,,
inguma,,,,,,jelawe ,,,,,,,
irakasle,,,N,,,ciwibe ,,,,,,,
iritsi,1,,V,,,dekuko ,,,,,,,
itsasalde,,,N,,,qujono ,,,,,,,
itsaso,,,N,,,vawagu ,,,,,,,
izar,,,N,,,nazoce ,,,,,,,
izkina,,,N,,,getaru ,,,,,,,
izurde,,,N,,,defuyi ,,,,,,,
jakin,,,VT,,,qipifi ,,,,,,,
jakina izan,,,VT,,,qipifi ,,,,,,,
jogurt,,,N,,,cufogo ,,,,,,,
kafe,,,N,,,dopema ,,,,,,,
kaixo,,,INTJ,,,yuliwe ,,,,,,,
kale,,,N,,,zuhiku ,,,,,,,
karretera,,,N,,,tihoqe ,,,,,,,
katedra,,,N,,,zunoko ,,,,,,,
katu,,,N,,,fufuki ,,,,,,,
ke,,,N,,,sesina ,,,,,,,
krokodilo,,,N,,,lekuri ,,,,,,,
kultura,,,N_xx,,,negewo 21,,,,,,,
lagun,,,N_-n,,,ciruge ,,,,,,,
laister,1,,AV,,,megoji ,,,,,,,
lan,,,Ptcp,,,rabure ,,,,,,,
leku,,,N,,,nohuwa ,,,,,,,
liburu,,,N,,,vijutu ,,,,,,,
lore,,,N,,,pazuti ,,,,,,,
mahai,,,N,,,yohaye ,,,,,,,
mendi,,,N,,,pobufe ,,,,,,,
neba,,,,,,zofego ,,,,,,,
ogia,,,N,,,mawofe ,,,,,,,
ohe,,,N,,,dufiqa ,,,,,,,
ohiturak,,,N_xx,,,negewo 21,,,,,,,
oin,,,N,,,dalibe ,,,,,,,
olio,,Gipuzkoa,N,,,bofecu,,,,,,,
ontzi,,,N,,,hunate ,,,,,,,
orain,,,AV,,,forini ,,,,,,,
oraintxe,,,AV,,,forini ,,,,,,,
ordenagailu,,,N,,,futeyu ,,,,,,,
orio,,Biscaya,N,,,bofecu,,,,,,,
orlegi,,,AN,,,ralija ,,,,,,,
pinpilinpauxa,,,N,,,jelawe ,,,,,,,
polit,,,AN,,,wivulu ,,,,,,,
pozik,,,AN,,,fiyezu ,,,,,,,
sagar,,,N,,,nahala ,,,,,,,
sagu,,,N,,,mafawe ,apple,,,,,,
sits,,,N,,,milana ,,,,,,,
soinu,,,N,,,tatazu ,,,,,,,
su,,,N,,,jaqare ,,,,,,,
suge,,,N,,,kisudo ,,,,,,,
telebista,,,N,,,tizehu ,,,,,,,
telefono,,,N,,,bifedo ,,,,,,,
tren,,,N,,,tewesa ,,,,,,,
txakurr,,,N,,,yobanu ,,,,,,,
txerri,,,N,,,bogiri ,,,,,,,
tximeleta,,,,,,jelawe ,,,,,,,
txori,,,N,,,daliwe ,,,,,,,
ur,,,N-WeakR,,,seliwa ,,,,,,,
uraza,,,N,,,zagari ,,,,,,,
urdin,,,AN,,,jayina ,,,,,,,
urruti,,,AN,,,,far,,,,,,
utzi,,,V,,,sumuda ,,,,,,,
zaldi,,,N,,,qibawe ,,,,,,,
zuhaitz,,,N,,,tiliva ,,,,,,,
zuri,,,AN,,,qokaza ,,,,,,,
