"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"-वाला",1,,"Suff",,,,"one who does",,,,,,
"-ा",,,"Inflection","M.SG",,,,,,,,,
"-ी",,,"Inflection","F.SG",,,,,,,,,
"-ीं",,,"Inflection","F.PL",,,,,,,,,
"-े",,,"Inflection","M.PL",,,,,,,,,
"अथवा",1,"Formal","Conj",,,,"either… or…",,,,,,
"अधिक",1,,"AN",,,,"much",,,,,,
"अधिक",2,,"AN",,,,"many",,,,,,
"अधिक",3,,"AN",,,,"too much",,,,,,
"अधिक",4,,"AN",,,,"too many",,,,,,
"अध्ययन",1,,"N",,"M",,"study, reading",,,,,,
"अध्ययन",2,,"N",,"M",,"course",,,,,,
"अनेक",1,,"AN","Indeclinable",,,"more than one, several",,,,,,
"अनेक",2,,"AN","Indeclinable",,,"many",,,,,,
"अनेक",3,,"AN","Indeclinable",,,"various",,,,,,
"अपना",1,,"Pro",,"Reflexive",,"oneself",,,,,,
"अभी",1,,"AV",,,,"right now",,,,,,
"अभी",2,,"AV",,,,"just now (a bit earlier)",,,,,,
"अर्थ",1,,"N",,"M",,"meaning",,,,,,
"अर्थ",2,,"N",,"M",,"sense, purpose",,,,,,
"अलग",1,,"AN","Indeclinable",,,"separate, distinct",,,,,,
"अलग",2,,"AN","Indeclinable",,,"different",,,,,,
"अश्व",1,,"N",,"M","qibawe ",,,,,,,
"आ-",1,,"V",,,,"come, approach, arrive",,,,,,
"आ-",2,,"V",,,,"enter, appear",,,,,,
"आ-",3,,"V",,,,"be perceived",,,,,,
"आगे",1,,"AV",,,,"forward",,,,,,
"आगे",2,,"AV",,,,"ahead",,,,,,
"आगे",3,,"AV",,,,"hereafter",,,,,,
"आदि",1,,"N",,"M",,"beginning",,,,,,
"आदि",2,,"N",,"M",,"source, origin",,,,,,
"आवश्यक",1,,"AN","Indeclinable",,,"necessary",,,,,,
"आसंद",,,"N",,"M","zunoko ",,,,,,,
"इसलिए",1,,"AV",,,,"therefore",,,,,,
"इसी",1,,"Pro",,,,"only this, just this",,,,,,
"उत्तर",1,,"N",,"M",,"reply, answer",,,,,,
"उत्तर",2,,"N",,"M","qobuge","north",,,,,,
"ऊपर",1,,"AV",,,,"on top of",,,,,,
"ऊपर",2,,"AV",,,,"above",,,,,,
"ऊपर",3,,"AV",,,,"preceding (in a sequence/text)",,,,,,
"ऊपर",4,,"AV",,,,"superficially",,,,,,
"एवं",1,"Literary","Coo",,,,"and",,,,,,
"एवं",2,,"Coo",,,,"thus, so",,,,,,
"ऐसा",1,,"D",,,,"of this sort/kind",,,,,,
"और",1,,"Coo",,,"nawulu","and",,,,,,
"कई",1,,"Pro",,,,"several things/people",,,,,,
"कई",2,,"Pro",,,,"many",,,,,,
"कई",3,,"D","Indeclinable",,,"varied",,,,,,
"कंप्यूटर",,,"N",,"M","futeyu ",,,,,,,
