"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"ada",,,"V",,,,"be present, exist",,,,,,
"adalah",1,,"Cop",,,"yeyepa","be the same thing as",,,,,,
"adalah",2,,"Cop",,,,"have the same meaning as",,,,,,
"air",1,,"N",,,"seliwa ",,,,,,,
"akan",1,,,,,,,,,,,,
"aku",1,"Informal","Pro",,,"lukayu",,,,,,,
"anak",1,,"N",,,,"child",,,,,,
"anak",2,,"N",,,,"minor",,,,,,
"anda",1,,"Pro",,"Polite","yilawu","you",,,,,,
"angin",1,,"N",,,"howahu",,,,,,,
"anjing",1,,"N",,,"yobanu ",,,,,,,
"apa",1,,"Pro",,,,,,,,,,
"apa pun",1,,"D N",,,,"any",,,,,,
"apa-apa",1,,,,,,,,,,,,
"apakah",1,,"Prt",,,,,,,,,,
"apapun",1,"Proscribed","D N",,,,"any",,,,,,
"apel",1,,"N",,,"nahala ",,,,,,,
"atas",1,,,,,,,,,,,,
"atau",1,,,,,,,,,,,,
"ayah",1,"Formal","N",,"RedupPL ParaPL",,"father",,,,,,
"ayam",1,,"N",,,"hiwufo","chicken",,,,,,
"ayo",1,,"Intj",,,,"come on!",,,,,,
"ayo",2,,"V",,,,"let’s",,,,,,
"ayolah",1,,"Intj",,,,"come on!",,,,,,
"ayolah",2,,"V",,,,"let’s",,,,,,
"bagaimana",1,,"AV",,,,"how",,,,,,
"bagus",,,,,,,,,,,,,
"bahkan",,,,,,,,,,,,,
"bahwa",,,"Subr",,"Content",,,,,,,,
"baik",,,,,,,"good",,,,,,
"baik-baik",,,,,,,,,,,,,
"baiklah",,,,,,,,,,,,,
"banyak",1,,"AN",,,,"many",,,,,,
"banyak",2,,"AV",,,,"a lot",,,,,,
"baru",1,,"AV",,,,"just (a bit earlier)",,,,,,
"beberapa",,,,,,,,,,,,,
"begitu",1,,"AV",,,,"so much",,,,,,
"bekerja",,,,,,,,,,,,,
"belum",1,,"AV",,,,"not yet",,,,,,
"benar",1,,"AM",,,"soturu","very",,,,,,
"benar",2,,"AN",,,"tunabe","true",,,,,,
"benar",3,,"AN",,,,"correct",,,,,,
"benar",4,,"AN",,,,"valid",,,,,,
"benar-benar",,,,,,,,,,,,,
"berada",,,,,,,,,,,,,
"berapa",1,,"D",,,,"how many",,,,,,
"berapa",2,,"D",,,,"how much",,,,,,
"berhenti",,,,,,,,,,,,,
"berilium",,,"N",,,"bediwe ",,,,,,,
"berpikir",,,,,,,,,,,,,
"bersama",,,,,,,,,,,,,
"bertemu",1,,"V",,,"hetosu","meet",,,,,,
"bertemu",2,,"V",,,,"converge",,,,,,
"beruang",,,"N",,,"bajasu ",,,,,,,
"besar",,,,,,,,,,,,,
"biarkan",,,,,,,,,,,,,
"biasanya",1,,"AV",,,,"generally, normally, usually",,,,,,
"bicara",1,,"V",,,,"have dealing",,,,,,
"bicara",2,,"V",,,"juweku","talk",,,,,,
"bicara",3,,"N",,,,"talk",,,,,,
"bicara",4,"Informal","N",,,,"negociation",,,,,,
"biji",1,,"N",,,"dorawo ",,,,,,,
"bilang",,,,,,,,,,,,,
"bisa",,,,,,,,,,,,,
"boleh",1,,"V",,,"zilanu","be allowed",,,,,,
"buaya",,,"N",,,"lekuri ",,,,,,,
"bukan",1,,"AV",,,"maruhe","NEG",,,,,,
"buruk",1,,"AN",,,,"bad",,,,,,
"buruk",2,,"AN",,,,"evil",,,,,,
"burung",1,,"N",,,"daliwe","bird",,,,,,
"burung",2,"Childish","N",,,"lobuze",,,,,,,
"butuh",,,,,,,,,,,,,
"cara",1,,"N",,"RedupPL",,"way",,,,,,
"cara",2,,"N",,"RedupPL",,"manner",,,,,,
"cees",,"Jakarta","Prt",,,"gezogi",,,,,,,
"cepat",,,,,,,,,,,,,
"cukup",,,,,,,,,,,,,
"dalam",,,,,,,,,,,,,
"dan",,,,,,,,,,,,,
"dapat",1,,"AV",,,,"possibly",,,,,,
"dapat",2,,"V",,,,"get",,,,,,
"dapat",3,,"V",,,,"find, encounter",,,,,,
"dari",,,,,,,,,,,,,
"datang",1,,"V",,,,"come",,,,,,
"datang",2,,"V",,,,"arrive",,,,,,
"dengan",1,,"P",,,,"to, with…",,,,,,
"dengan",2,,"P",,,,"by mean…",,,,,,
"dengan",3,,"P",,,,"in company of…",,,,,,
"dengan",4,,"P",,,,"in addition to",,,,,,
"dengan",5,,"P",,,,"happening together with",,,,,,
"dengan",6,,"P",,,,"in regard to",,,,,,
"denganmu",,,,,,,,,,,,,
"dengar",,,,,,,,,,,,,
"di",,,,,,,,,,,,,
"dia",,,"Pro",,,,,,,,,,
"dimana",,,,,,,,,,,,,
"diri",,,,,,,,,,,,,
"disini",,,,,,,,,,,,,
"dua",,,,,,,,,,,,,
"dubuk",,,"N",,,"nulofa ",,,,,,,
"dulu",,,,,,,,,,,,,
"dunia",,,,,,,,,,,,,
"erti",,1,"V",,,,"understand",,,,,,
"gadis",,,,,,,,,,,,,
"gegat",,,,,,"milana ",,,,,,,
"gila",,,,,,,,,,,,,
"hal",,,,,,,,,,,,,
"hanya",,,,,,,,,,,,,
"hari",,,,,,,,,,,,,
"harus",,,,,,,,,,,,,
"hei",,,,,,,,,,,,,
"hey",,,,,,,,,,,,,
"hidup",,,"VI",,,"yogije ",,,,,,,
"hidup",,,,,,,,,,,,,
"hijau",,,"AN",,,"ralija ",,,,,,,
"hitam",,,"AN",,,"nosune ",,,,,,,
"ia",,,"Pro",,,,,,,,,,
"ibu",,,,,,,,,,,,,
"ingat",,,,,,,,,,,,,
"ingin",,,,,,,,,,,,,
"ini",,,"D",,,,,,,,,,
"itu",,,"D",,,,,,,,,,
"itulah",,,,,,,,,,,,,
"jadi",1,,"AV",,,,"in order that",,,,,,
"jadi",2,,"V",,,"heqida","become",,,,,,
"jadi",3,,"V",,,,"be",,,,,,
"jadi",4,,"V",,,"tewuhi","succeed",,,,,,
"jadi",5,,"V",,,,"be completed",,,,,,
"jadi",6,,"V",,,,"be ready for use",,,,,,
"jalan",,,,,,,,,,,,,
"jam",,,,,,,,,,,,,
"jangan",,,,,,,,,,,,,
"jika",,,,,,,,,,,,,
"juga",1,,"Foc",,,,"too, as well",,,,,,
"kalau",1,,"Subr",,,"qetepu","if (conditional)",,,,,,
"kalau",2,"Colloquial","Subr",,,,"when",,,,,,
