"Lemma","Discriminator","Romaji","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"も",1,"mo",,"PRT",,,"yohecu",,,,,,,,
"もの",1,"monó",,"N",,,"gisiwu",,,,,,,,
"イルカ",1,"iruka",,"N",,,"defuyi",,,,,,,,
"キャベツ",1,"kyábeji",,"N",,,"babuto",,,,,,,,
"コンピュータ",1,"konpyúta",,"N",,,"futeyu",,,,,,,,
"ストーブ",1,"sutóopu",,"N",,,"tagowu",,,,,,,,
"タイリクオオカミ",1,"tairiku óokami",,"N",,,"kemara",,,,,,,,
"テーブル",1,"teeburu",,"N",,,"yohaye",,,,,,,,
"ナメクジ",1,"namekúji",,"N",,,"woguro",,,,,,,,
"蛞蝓",1,"namekúji",,"N",,,"woguro",,,,,,,,
"ハイイロオオカミ",1,"haiiro óokami",,"N",,,"kemara",,,,,,,,
"ハイエナ",1,"haiena",,"N",,,"nulofa",,,,,,,,
"ベッド",1,"béddo",,"N",,,"dufiqa",,,,,,,,
"ベリリウム",1,"beriríumu",,"N",,,"bediwe",,,,,,,,
"ヨーグルト",1,"yoogúruto",,"N",,,"cufogo",,,,,,,,
"リンゴ",1,"ringo",,"N",,,"nahala",,,,,,,,
"林檎",1,"ringo",,"N",,,"nahala",,,,,,,,
"レタス",1,"rétasu",,"N",,,"zagari",,,,,,,,
"レールガン",1,"réerugan?",,"N",,,"cawetu",,,,,,,,
"上げ-",1,"age-",,"VT_ni","@-eru",,"jubaku",132,,,,,,,
"今",1,"íma",,"N",,,"nibeyo",,,,,,,,
"今",1,"íma",,"AV",,,"nibeyo",,,,,,,,
"卵",1,"tamágo / tamago",,"N",,,"fuqilo",,,,,,,,
"国",1,"kuní",,"N",,,"jitoke",,,,,,,,
"多面体",1,"tamentai",,"N",,,"gakujo",,,,,,,,
"嬉し-",1,"ureshí-",,"AN","@-i",,"fiyezu",,,,,,,,
"寝床",1,"nedoko",,"N",,,"dufiqa",,,,,,,,
"山",1,"yamá",,"N",,,"pobufe",,,,,,,,
"島",1,"shimá",,"N",,,"pupima",,,,,,,,
"川",1,"kawá",,"N",,,"zacoye",,,,,,,,
"手",1,"té",,"N",,,"tehihi",,,,,,,,
"撫で-",1,"nadér-",,"VT","@-eru",,"gunoqo",,,,,,,,
"星",1,"hoshí",,"N",,,"nazoce",,,,,,,,
"暖炉",1,"dánro",,"N",,,"tagowu",,,,,,,,
"暮ら-",1,"kuras-",,"VI","@-su",,"yogije",,,,,,,,
"木",1,"kí",,"N",,,"tiliva",,,,,,,,
"本",1,"hón",,"N",,,"vijutu",,,,,,,,
"机",1,"tsukue",,"N",,,"yohaye",,,,,,,,
"森",1,"mori",,"N",,,"suhiwe",,,,,,,,
"椅子",1,"isu",,"N",,,"zunoko",,,,,,,,
"歩-",1,"arúk-",,"VT","@-ku",,"qajiho",,,,,,,,
"殺-",1,"koros-",,"VT","@-su",,"zicede",,,,,,,,
"水",1,"mizu",,"N",,,"seliwa",,,,,,,,
"火山",1,"kázan",,"N",,,"hotuna",,,,,,,,
"熊",1,"kumá / kúma",,"N",,,"bajasu",,,,,,,,
"犬",1,"inú",,"N",,,"yobanu",,,,,,,,
"狐",1,"kitsune",,"N",,,"nerawa",,,,,,,,
"猫",1,"néko",,"N",,,"fufuki",,,,,,,,
"生き-",1,"ikí-",,"VI","@-iru",,"yogije",,,,,,,,
"白-",1,"shiró-",,"VI","@-i",,"qokaza",,,,,,,,
"砂漠",1,"sabaku",,"N",,,"fahobo",,,,,,,,
"種",,"táne",,"N",,,"dorawo",,,,,,,,
"笑-",,"wara-",,"V","@-u",,"zanoso",,,,,,,,
"美し-",,"utsukushí-",,"V","@-i",,"wivulu",,,,,,,,
"花",,"haná",,"N",,,"pazuti",,,,,,,,
"蛇",,"hébi",,"N",,,"kisudo",,,,,,,,
"蜂",,"hachí",,"N",,,"zayami",,,,,,,,
"蜂蜜",,"hachimitsu",,"N",,,"wilawi",,,,,,,,
"蜜蠟",,"mitsuroo",,"N",,,"zonoba",,,,,,,,
"蝋燭",,"roosóku / roosokú",,"N",,,"mobupa",,,,,,,,
"見-",,"mí-",,"V","@-ru",,"gebuze",,,,,,,,
"赤-",,"aka-",,"V","@-i",,"kukewo",,,,,,,,
"電脳",,"dennoo",,"N",,,"futeyu",,,,,,,,
"露",,"tsúyu / tsuyú",,"N",,,"lufuha",,,,,,,,
"馬",,"umá",,"N",,,"qibawe",,,,,,,,
"骨",,"honé",,"N",,,"hobewe",,,,,,,,
"鬣犬",,"tategamíinu",,"N",,,"nulofa",,,,,,,,
"鰐",,"wáni",,"N",,,"lekuri",,,,,,,,
"鱗翅類",,"rinshirui",,"N",,,"zalina",,,,,,,,
"黒-",,"kuró-",,"V","@-i",,"nosune",,,,,,,,
"抱-",3,"idák-",,"V","@-ku","DO","rorowu",,,,,,,,
"鼻面",,"hanadzura",,"N",,,"newana",,,,,,,,
"-達",,"-tachi",,"Suff",,,"gezogi",,,,,,,,
"-たち",,"-tachi",,"Suff",,,"gezogi",,,,,,,,
