"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"ach-",1,,,"@-ar","DO",,"find, encounter",,,,,,
"ach-",2,,,"@-ar","DO #Adj",,"find as, consider",,,,,,
"acontec-",1,,"V","@-er",,,"happen",,,,,,
"adeus",1,,"Intj",,,,"goodbye",,,,,,
"agora",1,,"AV",,,"nibeyo ","now",,,,,,
"agora",2,,"N",,,"nibeyo ","now",,,,,,
"água",1,,"NF",,,"seliwa ",,,,,,,
"ah",1,,"Intj",,,,,,,,,,
"aí",1,,"AV",,,,"there (close to you)",,,,,,
"ainda",1,,"AV",,"nongradable","tojiha","still",,,,,,
"ajud-",,,"V","@-ar",,,,,,,,,
"ajuda",,,,,,,,,,,,,
"algo",,,,,,,"something",,,,,,
"alguém",,,,,,,,,,,,,
"alguma",,,,,,,,,,,,,
"alguns",,,,,,,,,,,,,
"ali",,,,,,,,,,,,,
"amanhã",,,,,,,,,,,,,
"amigo",,,,,,,,,,,,,
"amo",,,,,,,,,,,,,
"ano",,,"N",,,,,,,,,,
"antes",,,,,,,,,,,,,
"ao",,,,,,,,,,,,,
"apenas",,,,,,,,,,,,,
"aquela",,,,,,,,,,,,,
"aqui",,,,,,,,,,,,,
"aquilo",,,,,,,,,,,,,
"as",,,,,,,,,,,,,
"às",,,,,,,,,,,,,
"assim",,,,,,,,,,,,,
"até",,,,,,,,,,,,,
"atrás",,,,,,,,,,,,,
"baixo",,,,,,,,,,,,,
"bem",,,,,,,,,,,,,
"boa",,,,,,,,,,,,,
"bom",,,,,,,,,,,,,
"cachorro",,,"NM",,,"yobanu ",,,,,,,
"cadeira",,,"NF",,,"zunoko ",,,,,,,
"calma",,,,,,,,,,,,,
"cama",,,"NF",,,"dufiqa ",,,,,,,
"caminho",,,,,,,,,,,,,
"cão",,,"NM",,,"yobanu ",,,,,,,
"cara",,,,,,,,,,,,,
"carro",,,,,,,,,,,,,
"casa",,,,,,,,,,,,,
"caso",,,,,,,,,,,,,
"causa",,,,,,,,,,,,,
"certeza",,,,,,,,,,,,,
"certo",,,,,,,,,,,,,
"cheg-",,,"V","@-ar",,,,,,,,,
"cidade",,,,,,,,,,,,,
"cima",,,,,,,,,,,,,
"coisa",,,,,,,,,,,,,
"com",,,"P",,,,,,,,,,
"comigo",,,,,,,,,,,,,
"como",,,"P",,,,,,,,,,
"consigo",,,,,,,,,,,,,
"conta",,,,,,,,,,,,,
"contigo",,,,,,,,,,,,,
"contra",,,,,,,,,,,,,
"da",,,,,,,,,,,,,
"daqui",,,,,,,,,,,,,
"dar",,,,,,,,,,,,,
"das",,,,,,,,,,,,,
"de",,,"Prt",,,,,,,,,,
"deix-",,,"V","@-ar",,,,,,,,,
"deixa",,,,,,,,,,,,,
"dela",,,,,,,,,,,,,
"dele",,,,,,,,,,,,,
"deles",,,,,,,,,,,,,
"delfim",,,"NM",,,"defuyi ",,,,,,,
"dentro",,,,,,,,,,,,,
"depois",,,,,,,,,,,,,
"desculpa",,,,,,,,,,,,,
"desta",,,,,,,,,,,,,
"deus",,,,,,,,,,,,,
"dia",,,,,,,,,,,,,
"difícil",,,,,,,,,,,,,
"dinheiro",,,,,,,,,,,,,
"disse",,,,,,,,,,,,,
"disso",,,,,,,,,,,,,
"dizer",,,,,,,,,,,,,
"do",,,,,,,,,,,,,
"dois",,,,,,,,,,,,,
"dos",,,,,,,,,,,,,
"durante",,,,,,,,,,,,,
"ei",,,,,,,,,,,,,
"ela",,,,,,,,,,,,,
"ele",,,,,,,,,,,,,
"eles",,,,,,,,,,,,,
"em",,,,,,,,,,,,,
"embora",,,,,,,,,,,,,
"enquanto",,,,,,,,,,,,,
"então",,,,,,,,,,,,,
"entre",,,,,,,,,,,,,
"era",,,,,,,,,,,,,
"és",,,,,,,,,,,,,
"esper-",,,"V","@-ar",,,,,,,,,
"essa",,,,,,,,,,,,,
"está",,,,,,,,,,,,,
"estás",,,,,,,,,,,,,
"estava",,,,,,,,,,,,,
"estava",,,,,,,,,,,,,
"este",,,,,,,,,,,,,
"estou",,,,,,,,,,,,,
"eu",,,,,,,,,,,,,
"faço",,,,,,,,,,,,,
"fal-",,,"V","@-ar",,,,,,,,,
"família",,,,,,,,,,,,,
"favor",,,,,,,,,,,,,
"faz-",,,"V","@-er",,,,,,,,,
"faz-",,,,,,,,,,,,,
"feito",,,,,,,,,,,,,
"feliz",,,,,,,,,,,,,
"fez",,,,,,,,,,,,,
"filha",,,,,,,,,,,,,
"filho",,,,,,,,,,,,,
"fim",,,,,,,,,,,,,
"fiz",,,,,,,,,,,,,
"foi",,,,,,,,,,,,,
"for",,,,,,,,,,,,,
"foram",,,,,,,,,,,,,
"forma",,,,,,,"shape",,,,,,
"frente",,,,,,,,,,,,,
"gato",,,"N",,"M","fufuki ",,,,,,,
"gente",,,,,,,,,,,,,
"golfinho",,,"N",,"M","defuyi ",,,,,,,
"gosto",,,,,,,,,,,,,
"grande",,,,,,,,,,,,,
"há",,,,,,,,,,,,,
"hiena",,,"N",,"F","nulofa ",,,,,,,
"história",,,,,,,,,,,,,
"hoje",,,,,,,,,,,,,
"homem",,,,,,,,,,,,,
"hora",,,,,,,,,,,,,
"ia",,,,,,,,,,,,,
"ideia",,,,,,,,,,,,,
"importante",,,,,,,,,,,,,
"iogurte",,,"N",,"M","cufogo ",,,,,,,
"ir",,,,,,,,,,,,,
"isso",,,,,,,,,,,,,
"isto",,,,,,,,,,,,,
"já",,,,,,,,,,,,,
"la",,,,,,,,,,,,,
"lá",,,,,,,,,,,,,
"lado",,,,,,,,,,,,,
"leito",,,"N",,"M","dufiqa ",,,,,,,
"lhe",,,,,,,,,,,,,
"lo",,,,,,,,,,,,,
"lobo cinzento",,,"N",,"M","kemara ",,,,,,,
"logo",,,,,,,,,,,,,
"los",,,,,,,,,,,,,
"lugar",,,,,,,,,,,,,
"maçã",,,"N",,"F","nahala ",,,,,,,
"mãe",,,,,,,,,,,,,
"maior",,,,,,,,,,,,,
"mais",,,,,,,,,,,,,
"mal",,,,,,,,,,,,,
"manhã",,,,,,,,,,,,,
"mãos",,,,,,,,,,,,,
"mas",,,,,,,,,,,,,
"mat-",,,"V","@-ar",,,,,,,,,
"me",,,,,,,,,,,,,
"medo",,,,,,,,,,,,,
"melhor",,,,,,,,,,,,,
"menos",,,,,,,,,,,,,
"mesa",,,"N",,"F","yohaye ",,,,,,,
"mesmo",,,,,,,,,,,,,
"meu",,,,,,,,,,,,,
"meus",,,,,,,,,,,,,
"mim",,,,,,,,,,,,,
"minha",,,,,,,,,,,,,
"minuto",,,,,,,,,,,,,
"momento",,,,,,,,,,,,,
"morte",,,,,,,,,,,,,
"muito",1,,"D",,"Labile",,"many",,,,,,
"muito",2,,"D",,"Labile",,"much",,,,,,
"muito",3,,"D",,"Labile",,"too many",,,,,,
"muito",4,,"D",,"Labile",,"too much",,,,,,
"muito",5,,"AV",,,"soturu","very",,,,,,
"mulher",,,,,,,,,,,,,
"mundo",,,,,,,,,,,,,
"na",,,,,,,,,,,,,
"nada",,,,,,,,,,,,,
"não",,,"Polarity",,,"maruhe ",,,,,,,
"nas",,,,,,,,,,,,,
"nem",,,,,,,,,,,,,
"nenhum",,,,,,,,,,,,,
"neste",,,,,,,,,,,,,
"ninguém",,,,,,,,,,,,,
"no",,,,,,,,,,,,,
"noite",,,,,,,,,,,,,
"nome",,,,,,,,,,,,,
"nos",,,,,,,,,,,,,
"nós",,,,,,,,,,,,,
"novo",,,,,,,,,,,,,
"num",,,,,,,,,,,,,
"numa",,,,,,,,,,,,,
"número",,,,,,,,,,,,,
"nunca",,,,,,,,,,,,,
"obrigado",,,,,,,,,,,,,
"oh",,,"Intj",,,,,,,,,,
"olá",,,,,,,,,,,,,
"olhos",,,,,,,,,,,,,
"onde",,,,,,,,,,,,,
"óptimo",,,,,,,,,,,,,
"os",,,,,,,,,,,,,
"ou",,,,,,,,,,,,,
"outra",,,,,,,,,,,,,
"pai",1,,"N",,"de","selaci ","father",,,,,,
"pai",2,,,,,,"dad, my father",,,,,,
"para",,,"P",,,,"for",,,,,,
"pára",,,,,,,,,,,,,
"parec-",,,"V","@-cer",,,,,,,,,
"parte",,,,,,,,,,,,,
"pelo",,,,,,,,,,,,,
"pens-",,,"V","@-ar",,,,,,,,,
"pessoas",,,,,,,,,,,,,
"pod-",,,"V","@-er",,,,,,,,,
"pois",,,,,,,,,,,,,
"polícia",,,,,,,,,,,,,
"poliedro",,,"N",,"M","gakujo ",,,,,,,
"por",,,,,,,,,,,,,
"porque",,,,,,,,,,,,,
"porquê",,,,,,,,,,,,,
"posso",,,,,,,,,,,,,
"pouco",,,,,,,,,,,,,
"pra",1,"Colloquial","P",,,,"for",,,,,,
"pra",2,,"P+D",,,,"for the (F)",,,,,,
"preciso",,,,,,,,,,,,,
"primeiro",,,,,,,,,,,,,
"problema",,,,,,,,,,,,,
"qual",,,,,,,,,,,,,
"qualquer",,,,,,,,,,,,,
"quando",,,,,,,,,,,,,
"quanto",,,,,,,,,,,,,
"quarto",,,,,,,,,,,,,
"quase",,,"AV",,,,"almost",,,,,,
"quatro",,,,,,,,,,,,,
"que",1,,"Subr",,,,,,,,,,
"que",2,,"P",,,,"than",,,,,,
"quê",,,"Pro",,"Int",,"what",,,,,,
"quem",,,,,,,,,,,,,
"quer",,,,,,,,,,,,,
"quero",,,,,,,,,,,,,
"raio",,,,,,,,,,,,,
"rapaz",,,,,,,,,,,,,
"rápido",,,,,,,,,,,,,
"razão",,,,,,,,,,,,,
"sab-",,,"V","@-er",,,,,,,,,
"sai",,,,,,,,,,,,,
"são",,,,,,,,,,,,,
"se",,,,,,,,,,,,,
"se-",,,"V","@-r",,,,,,,,,
"sei",,,,,,,,,,,,,
"seja",,,,,,,,,,,,,
"sem",,,,,,,,,,,,,
"semana",,,,,,,,,,,,,
"sempre",,,,,,,,,,,,,
"senhor",,,,,,,,,,,,,
"seu",,,,,,,,,,,,,
"seus",,,,,,,,,,,,,
"si",,,,,,,,,,,,,
"sim",,,"Intj",,,,"yes",,,,,,
"sinto",,,,,,,,,,,,,
"só",,,,,,,,,,,,,
"sobre",,,,,,,,,,,,,
"sorte",,,,,,,,,,,,,
"sou",,,,,,,,,,,,,
"sua",,,,,,,,,,,,,
"tal",,,,,,,,,,,,,
"talvez",,,,,,,,,,,,,
"também",,,,,,,,,,,,,
"tanto",,,,,,,,,,,,,
"tão",,,,,,,,,,,,,
"tarde",,,,,,,,,,,,,
"te",,,,,,,,,,,,,
"tem",,,,,,,,,,,,,
"têm",,,,,,,,,,,,,
"tempo",,,,,,,,,,,,,
"tenho",,,,,,,,,,,,,
"tens",,,,,,,,,,,,,
"ter",,,,,,,,,,,,,
"terra",,,,,,,,,,,,,
"teu",,,,,,,,,,,,,
"ti",,,,,,,,,,,,,
"tinha",,,,,,,,,,,,,
"tipo",,,,,,,,,,,,,
"tod-",,,"D",,,,,,,,,,
"trabalho",,,,,,,,,,,,,
"três",,,,,,,,,,,,,
"tu",,,,,,,,,,,,,
"tua",,,,,,,,,,,,,
"tudo",,,,,,,,,,,,,
"última",,,,,,,,,,,,,
"um",,,"Num",,,"wehuke ","one",,,,,,
"uns",,,,,,,,,,,,,
"vão",,,,,,,,,,,,,
"vê",,,,,,,,,,,,,
"vejo",,,,,,,,,,,,,
"vem",,,,,,,,,,,,,
"ver",,,,,,,,,,,,,
"verdade",,,,,,,,,,,,,
"vez",,,,,,,,,,,,,
"vi",,,,,,,,,,,,,
"vida",,,,,,,,,,,,,
"viu",,,,,,,,,,,,,
"você",,,,,,,,,,,,,
"vocês",,,,,,,,,,,,,
"vos",,,,,,,,,,,,,
"vou",,,,,,,,,,,,,
