Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
вода́,,,NF,,,seliwa ,,,,,,,
жить,,,VI,,,yogije ,,,,,,,
знать,,,VT,,,qipifi ,,,,,,,
йо́гурт,,,NM,,,cufogo ,,,,,,,
ко́шка,,,NF,,,fufuki ,,,,,,,
кот,,,NM,,,fufuki ,,,,,,,
пе́чка,,,NF,,,tagowu ,,,,,,,
печь,,,NF,,,tagowu ,,,,,,,
пчела́,,,NF,,,zayami ,,,,,,,
пёс,,,NM,,,yobanu ,,,,,,,
соба́ка,,,NF,,,yobanu ,,,,,,,
стол,,,NM,,,yohaye ,,,,,,,
тетра́эдр,,,NM,,,kibula ,,,,,,,
я́блоко,,,NN,,,nahala ,,,,,,,
