"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"-es",,,"Suff",,,"hanona",,,,,,,
"-s",,,"Suff",,,"hanona",,,,,,,
"a",,,"P",,,,,,,,,,
"abeja",,,"N",,"F","zayami ",,,,,,,
"abrevadero",,,"N",,"M","bazemi ",,,,,,,
"aceite",,,"N",,"M","bofecu ",,,,,,,
"adiós",,,"Intj",,,,,,,,,,
"afuera",,,,,,,,,,,,,
"agua",,,"N",,"M","seliwa ",,,,,,,
"ah",,,"Intj",,,,,,,,,,
"ahí",,,"AV",,,,,,,,,,
"ahora",,,"AV",,,"nibeyo ",,,,,,,
"al",,,"Prt",,,,,,,,,,
"algo",,,"Pro",,"M",,,,,,,,
"alguien",,,"Pro",,,,,,,,,,
"algún",,,,,,,,,,,,,
"alguna",,,,,,,,,,,,,
"allí",,,"AV",,,,,,,,,,
"amarillo",,,"AN",,,"putovo ",,,,,,,
"amigo",,,"N",,"M de","ciruge ",,,,,,,
"amor",,,"N",,"M",,,,,,,,
"anaranjado",,,"AN",,,"jigeho ",,,,,,,
"andar",,,"V",,,"qetufo ",,,,,,,
"año",,,"N",,"M",,,,,,,,
"antes",,,,,,,,,,,,,
"aquí",,,"Pro",,,,,,,,,,
"árbol",,,"N",,"M","tiliva ",,,,,,,
"arriba",,,"AV",,,,,,,,,,
"arsénico",,,"N",,"M","hopori ",,,,,,,
"así",,,"AV",,,,,,,,,,
"asiento",,,"N",,"M","zunoko ",,,,,,,
"atrás",,,"AV",,,,,,,,,,
"aún",,,,,,,,,,,,,
"axila",,,"N",,"F","pehonu ",,,,,,,
"ayuda",,,"N",,"F",,,,,,,,
"ayudar",,,"V",,"DO",,,,,,,,
"azul",,,"AN","NullMasc",,"jayina ",,,,,,,
"baj-",,,"AN",,,,,,,,,,
"batata",,,"N",,"F","dafoli ",,,,,,,
"bebedero",,,"N",,"M","bazemi ",,,,,,,
"beber",,,"V",,"DO","cewide ",,,,,,,
"berilio",,,"N",,"M","bediwe ",,,,,,,
"bien",,,"AV",,,,,,,,,,
"blanco",,,"AN",,,"qokaza ",,,,,,,
"boca",,,"N",,"F","wahulo ",,,,,,,
"bol",,,"N",,"M","busiba ",,,,,,,
"bomba",,,"N",,"F","wovuyu ",,,,,,,
"bonit-",,,"AN",,,"wivulu ",,,,,,,
"bosque",,,"N",,"M","suhiwe ",,,,,,,
"buen-",,,"AN",,,,,,,,,,
"caballo",,,"N",,,"qibawe ",,,,,,,
"cabeza",,,"N",,"F","zejeti ",,,,,,,
"cabra",,,"N",,"F","zajaki ",,,,,,,
"cada",,,"D",,,,,,,,,,
"caja",,,"N",,"F","meluyo ",,,,,,,
"caja",,,"N",,"F","coyete ",,,,,,,
"cajón",,,"N",,"M","coyete ",,,,,,,
"calentador",,,"N",,"M","tagowu ",,,,,,,
"calle",,,"N",,"F","zuhiku ",,,,,,,
"cama",,,"N",,"F","dufiqa ",,,,,,,
"caminar",,,"V",,,,,,,,,,
"camino",,,"N",,"M",,,,,,,,
"candela",,,"N",,"F","mobupa ",,,,,,,
"cara",,,"N",,"F","culuke ",,,,,,,
"casa",,,"N",,"F",,,,,,,,
"casi",,,"AV",,,,,,,,,,
"caso",,,"N",,"M",,,,,,,,
"cebolla",,,"N",,"F","zepuqu ",,,,,,,
"cera de abeja",,,"N",,"F","zonoba ",,,,,,,
"cinturón",,,"N",,"M","nojufe ",,,,,,,
"ciudad",,,"N",,"F",,,,,,,,
"clar-",,,"AN",,,,,,,,,,
"cocodrilo",,,"N",,"M","lekuri ",,,,,,,
"comedero",,,"N",,"M","cesawo ",,,,,,,
"comer",,,"V",,"DO","qayiho ",,,,,,,
"como",,,"P",,,,,,,,,,
"cómo",,,"Adv",,,,,,,,,,
"comprender",,,"V",,"DO","cimana ",,,,,,,
"con",,,"P",,,,,,,,,,
"conmigo",,,"AV",,,,,,,,,,
"conocer",,,"V",,"DO","ciboya ",,,,,,,
"contigo",,,"AV",,,,,,,,,,
"contra",,,,,,,,,,,,,
"corazón",,,"N",,"M","cizehu ",,,,,,,
"correr",,,"V",,,"danake ",,,,,,,
"cosa",,,"N",,"F",,,,,,,,
"cráneo",,,"N",,"M","heqegu ",,,,,,,
"crocodilo",,,"N",,"M","lekuri ",,,,,,,
"cuando",,,,,,,,,,,,,
"cuenco",,,"N",,"M","busiba ",,,,,,,
"cuerpo",,,"N",,"M","tezoze ",,,,,,,
"cuidado",,,"N",,,,,,,,,,
"cuidado",,,"Intj",,,,,,,,,,
"cultura",,,"N",,"F de","negewo 21",,,,,,,
"dar",,,"V",,"DO à","jubaku 132",,,,,,,
"de",,,"Prt",,,,,,,,,,
"decir",,,"V",,,,,,,,,,
"dedo",,,"N",,"M","fenube ",,,,,,,
"dedo del pie",,,"N",,"M","tabuze ",,,,,,,
"dejar",,,"V",,,,,,,,,,
"del",,,"Prt",,,,,,,,,,
"delfín",,,"N",,"M","defuyi ",,,,,,,
"demasiado",,,"AV",,,,,,,,,,
"dentro",,,,,,,,,,,,,
"desde",,,"P",,,,,,,,,,
"después",,,"P",,,,,,,,,,
"día",,,"N",,"★",,,,,,,,
"diente",,,"N",,"M","yapahi ",,,,,,,
"digerir",,,"V",,"DO","buliki ",,,,,,,
"dinero",,,"N",,,,,,,,,,
"domingo",,,"N",,"M","kilesi ",,,,,,,
"donde",,,"Rel",,,,,,,,,,
"dónde",,,"Adv",,,,,,,,,,
"dos",,,"Num",,,,,,,,,,
"durante",,,"P",,,,,,,,,,
"eh",,,"Intj",,,,,,,,,,
"el",,,"D",,,,,,,,,,
"él",,,"SubjPro",,"M",,,,,,,,
"ella",,,"SubjPro",,"F",,,,,,,,
"en",,,"P",,,,,,,,,,
"entender",,,"V",,"DO",,,,,,,,
"entonces",,,,,,,,,,,,,
"entre",,,"P",,,"howope ",,,,,,,
"es",,,,,,,,,,,,,
"esa",,,"Pro",,"F",,,,,,,,
"ese",,,"D",,,,,,,,,,
"eso",,,"Pro",,"M",,,,,,,,
"esperar",,,"V",,"DO",,,,,,,,
"esqueleto",,,"N",,"M","gelaki ",,,,,,,
"est-",,,"V","@estar",,,,,,,,,
"esta",,,"D",,"F",,,,,,,,
"estantería",,,"N",,"F","yiwajo ",,,,,,,
"este",,,"D",,"M",,,,,,,,
"esto",,,"D",,,,,,,,,,
"estrella",,,"N",,"F","nazoce ",,,,,,,
"estufa",,,"N",,"F","tagowu ",,,,,,,
"faenar",3,,"V",,"DO","legayi ",,,,,,,
"fals-",,,"AN",,,"maruhe ",,,,,,,
"familia",,,"N",,"F",,,,,,,,
"favor",,,"N",,"F",,,,,,,,
"feliz",,,"AN","NullMasc",,,,,,,,,
"fin",,,"N",,,,,,,,,,
"fuente",,,"N",,"F","busiba ",,,,,,,
"fuera",,,,,,,,,,,,,
"gafas",,,"NFPL",,,"zivumo ",,,,,,,
"gato",,,"N",,"M","fufuki ",,,,,,,
"gente",,,"N",,"F",,,,,,,,
"gracias",,,"Intj",,,,,,,,,,
"gris",,,"AN","NullMasc",,"kukihu ",,,,,,,
"hablar",,,"V",,,,,,,,,,
"hacer",,,"V",,,,,,,,,,
