"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"-a",1,,"Prt",,"Pre-noun",,"of",,,,,,
"-a",2,,"Prt",,"Pre-num",,"-th",,,,,,
"-a kwanza",1,,"aP",,,,"first",,,,,,
"-ajili",1,,"V",,,,"rush, hurry",,,,,,
"-ake",1,,"AN",,,,"3SG_POSS",,,,,,
"-ake",2,,"AN",,,,"3PL_INAN_POSS",,,,,,
"-amba",1,,"V",,,,"say, tell",,,,,,
"-anza",1,,"V",,,,"begin",,,,,,
"-chi",1,,"N",,"C9",,"country (nation state)",,,,,,
"-chi",2,,"N",,"C9",,"earth (inhabited world)",,,,,,
"-end-",1,,"V",,,,"go, go away",,,,,,
"-end-",2,,"V",,,,"move",,,,,,
"-enye",1,,"PossPro",,,,"having",,,,,,
"-enyewe",1,,"Pro",,,,"self",,,,,,
"-esh-",1,,"SF",,"Voice Causative PostC₂",,"CAUS",,,,,,
"-eupe",1,,,,,"qokaza",,,,,,,
"-ew-",1,,"SF",,"Voice PostC₅",,"PASS",,,,,,
"-fanya",1,,"V",,,"kiwazu","do",,,,,,
"-fanyika",1,,"V",,,,"be done/made",,,,,,
"-hasa",1,,"V",,,,"perform a ritual",,,,,,
"-hatarisha",1,,"V",,,,"put in danger",,,,,,
"-husu",1,,"V",,,,"affect, concern",,,,,,
"-husu",2,,"V",,,,"relate",,,,,,
"-husu",3,,"V",,,,"involve",,,,,,
"-imb-",,,"V",,,"potubo ","sing",,,,,,
"-imbo",,,"N",,"C11",,"song",,,,,,
"-ingi",1,,"AN",,,,"many",,,,,,
"-ingi",2,,"AN",,,,"much",,,,,,
"-ish-",,,"SF",,"Voice Causative PostC₁",,"CAUS",,,,,,
"-iw-",,,"SF",,"Voice PostC₄",,"PASS",,,,,,
"-kama",4,,"V",,,,"squeeze, press",,,,,,
"-kama",5,,"V",,,,"milk (an animal)",,,,,,
"-kuna",,,"V",,,,"scratch",,,,,,
"-kuu",1,,"AN",,,,"great, major",,,,,,
"-kuu",2,,"AN",,,,"old ⁓ experienced?",,,,,,
"-kuu",3,,"AN",,,,"chief, main",,,,,,
"-lesh-",,,"SF",,"Voice Causative PostV₂",,"CAUS",,,,,,
"-lew-",,,"SF",,"Voice PostV₅",,"PASS",,,,,,
"-lish-",,,"SF",,"Voice Causative PostV₁",,"CAUS",,,,,,
"-liw-",,,"SF",,"Voice PostV₄",,"PASS",,,,,,
"-moja",1,,"Num",,,"gosiwi ","one",,,,,,
"-na",1,,"Cop",,,,"be",,,,,,
"-na",2,,"Cop",,,,"have",,,,,,
"-nena",1,,"V",,,,"speak, utter",,,,,,
"-nyama",1,,"N",,"C9","ziwayu","animal",,,,,,
"-pepo",1,,"N",,"C11","howahu","wind",,,,,,
"-refu",2,,"N",,"C14",,"length",,,,,,
"-refu",3,,"N",,"C14",,"height",,,,,,
"-refu",4,,"N",,"C14",,"depth",,,,,,
"-refu",1,,"AN",,,,"long",,,,,,
"-sana",,,"V",,,,"forge",,,,,,
"-shinda",1,,"V",,,,"overcome",,,,,,
"-shinda",2,,"V",,,,"succeed",,,,,,
"-shinda",3,,"V",,,,"win",,,,,,
"-shinda",4,,"V",,,,"surpass",,,,,,
"-toa",1,,"V",,,,"produce",,,,,,
"-tok-",,,"V","@-a",,,"come from",,,,,,
"-ua",1,,"V",,,,"kill, murder",,,,,,
"-ua",2,,"V",,,,"destroy",,,,,,
"-w-",,,"SF",,"Voice PostC₃ PostV₃",,"PASS",,,,,,
"-zaa",1,,"V",,,"mamuvu ","give birth",,,,,,
"-zaliwa",1,,"V",,,,"be born",,,,,,
"-zuia",1,,"V",,,,"prevent",,,,,,
"-zuia",2,,"V",,,,"obstruct, hinder, restrain, hamper",,,,,,
"-zuri",,,"AN",,,"wivulu ",,,,,,,
"Afrika",,,"N",,"C16",,,,,,,,
"aina",,,"N",,"C9","fukepa ","kind, type, sort",,,,,,
"ajili",,,"N",,"C9",,"reason, cause, sake",,,,,,
"akili",,,"N",,"C9",,"intelligence, cleverness",,,,,,
"akina",,,"Prt",,,"gezogi",,,,,,,
"akiwa",,,"N",,"C9",,"mark, sign, symbol",,,,,,
"alama",,,,,,,,,,,,,
"albamu",,,,,,,,,,,,,
"Albamu",,,,,,,,,,,,,
"alikuwa",,,,,,,,,,,,,
"alizaliwa",,,,,,,,,,,,,
"amba-",,,"Subr",,"Rel",,"⦃relativize⦄",,,,,,
"ambako",,,,,,,,,,,,,
"ambalo",,,,,,,,,,,,,
"ambao",,,,,,,,,,,,,
"ambapo",,,,,,,,,,,,,
"ambaye",,,,,,,,,,,,,
"ambayo",,,,,,,,,,,,,
"ambazo",,,,,,,,,,,,,
"Amerika",,,,,,,,,,,,,
"ardhi",,,,,,,,,,,,,
"Asia",,,,,,,,,,,,,
"asili",,,,,,,,,,,,,
"asilia",,,,,,,,,,,,,
"asilimia",,,,,,,,,,,,,
"athari",1,,"N",,"C9",,"defect, deficiency",,,,,,
"athari",2,,"N",,"C9",,"effect, impact",,,,,,
"au",,,"Coo",,,,,,,,,,
"awali",,,,,,,,,,,,,
"baada ya",,,"P",,,,"after",,,,,,
"baadaye",,,"AV",,,,"afterwards",,,,,,
"baadhi",,,,,,,,,,,,,
"Baadhi",,,,,,,,,,,,,
"baba",,,,,,,,,,,,,
"badala",,,,,,,,,,,,,
"bado",,,,,,,,,,,,,
"bahari",1,,"N",,"C9 Loc",,"sea",,,,,,
"bahari kuu",1,,"N",,"C9",,"ocean",,,,,,
"bali",,,,,,,,,,,,,
"bara",,,,,,,,,,,,,
"barabara",,,,,,,,,,,,,
"baridi",,,,,,,,,,,,,
"basi",1,,"Intj",,,,"that’s it, stop, OK",,,,,,
"basi",2,,"Conj",,,,"then",,,,,,
"basi",3,,"Conj",,,,"so",,,,,,
"basi",4,,"N",,"C5",,"bus (vehicle)",,,,,,
"berili",,,,,,"bediwe ",,,,,,,
"biashara",,,,,,,,,,,,,
"bidhaa",,,,,,,,,,,,,
"bila",,,,,,,,,,,,,
"binadamu",,,,,,,,,,,,,
"binafsi",,,,,,,,,,,,,
"bluu",,,,,,"jayina ",,,,,,,
