Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
Afrika,,,Name,,,yosega ,,,,,,,
Afrika,,,Name,,,ganifa ,,,,,,,
Almanya,,,Name,,,gobite ,,,,,,,
Antartika,,,Name,,,zuvugu ,,,,,,,
Asya,,,Name,,,fiwoye ,,,,,,,
Avrasya,,,Name,,,jeweno ,,,,,,,
Avrasya,,,Name,,,tuvuha ,,,,,,,
Avrupa,,,N,,,jalaki ,,,,,,,
Avrupa,,,N,,,lakuke ,,,,,,,
Avusturalya,,,Name,,,satuwu ,,,,,,,
Avusturalya,,,Name,,,lohayi ,,,,,,,
CD,,,N,,,sasusi ,,,,,,,
Ermenistan,,,Name,,,hufizo ,,,,,,,
Fransa,,,Name,,,deligi ,,,,,,,
Grönland,,,N,,,gemeni ,,,,,,,
Hindistan,,,Name,,,daqida ,,,,,,,
Japonya,,,Name,,,jowuzi ,,,,,,,
Kore,,,N,,,vebata ,,,,,,,
Lojbancı,,,AN,,,roleca ,,,,,,,
Mısır,,,Name,,,femari ,,,,,,,
Polonya,,,N,,,lubeho ,,,,,,,
Rusya,,,N,,,vuwiko ,,,,,,,
acı,,,N,,,busoni ,,,,,,,
acı,,,VI,,,bebiqe ,,,,,,,
acıt,,,VT,,,hudufo ,,,,,,,
ada,,,N,,,pupima ,,,,,,,
adam,,,NA,,,powoko ,,,,,,,
aile,,,N,,,morudo ,,,,,,,
ak,,,AN,,,qokaza ,,,,,,,
aks,,,N,,,gonowo ,,,,,,,
akıl,,,N,,,tehuwe ,,,,,,,
akışkan,,,AN,,,rozeqa ,,,,,,,
al,,,,,,kukewo ,,,,,,,
alet kutusu,,,N,,,tajufo ,,,,,,,
alev,,,N,,,jenuwi ,,,,,,,
alkol,,,N,,,gomadu ,,,,,,,
altı,,,AN,,,juhazo ,,,,,,,
altın,,,N,,,qedipu ,,,,,,,
alın,,,N,,,suvima ,,,,,,,
ama,,,,,,buvune ,,,,,,,
ana,,,N,,,fimimo ,,,,,,,
anahtar,,,N,,,telipi ,,,,,,,
ancak ve ancak,,,COO,,,tuyafu ,,,,,,,
